accuracy,loss,val_accuracy,val_loss
0.4543478190898895,1.4988293647766113,0.7575757503509521,0.7214424014091492
0.8260869383811951,0.5029075145721436,0.7878788113594055,0.3594115376472473
0.873913049697876,0.31139764189720154,0.9242424368858337,0.26746875047683716
0.928260862827301,0.2158922255039215,0.8939393758773804,0.2717442810535431
0.8913043737411499,0.2862633466720581,0.9545454382896423,0.11862073838710785
0.873913049697876,0.2732340693473816,0.9696969985961914,0.10316216945648193
0.9239130616188049,0.1907951384782791,0.9545454382896423,0.11754783987998962
0.960869550704956,0.13211356103420258,0.9242424368858337,0.14205379784107208
0.958695650100708,0.12114006280899048,0.8181818127632141,0.8484523296356201
0.9304347634315491,0.21477238833904266,1.0,0.04321766272187233
0.9521738886833191,0.11978944391012192,0.9545454382896423,0.07072322815656662
0.9543478488922119,0.10933556407690048,0.9242424368858337,0.13053129613399506
0.960869550704956,0.11533115804195404,0.9242424368858337,0.1320963352918625
0.980434775352478,0.08392014354467392,0.9696969985961914,0.0673726499080658
0.97826087474823,0.06222633644938469,0.939393937587738,0.09785577654838562
